,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
User 1,0.8154596290599273,0.7751495585473346,0.7899609448010572,0.7783797020778558,0.771348419517176,0.7844145730292225,0.7421856100296982,0.7577331136172434,0.7590238938922158,0.7641867268656204,0.8092468511384306,0.7731834788987406
User 2,0.7828451244765862,0.7741331742200862,0.7819346623267462,0.7657023925278452,0.764391730576137,0.7741224470958225,0.7439338618286297,0.76152909866405,0.7719376215636251,0.774847420378681,0.8023103453049949,0.7838154696674903
User 3,0.7862335702520472,0.7729901614280654,0.7899609448010572,0.7778430021272019,0.7741927858733015,0.7483741111474211,0.7449743421378804,0.7593832588789714,0.7586078641123174,0.7686451821276127,0.7890890200639123,0.7905760779970931
User 4,0.7765821480015747,0.7677071684184017,0.7819346623267462,0.786847562008678,0.7685889770610821,0.7613387019947694,0.7460626277877628,0.7463351204598975,0.7524358447144033,0.7707632321382718,0.7839365050080161,0.7875296085607498
User 5,0.7966850906928167,0.7698767244830707,0.7899609448010572,0.7818716439762281,0.7641888160156179,0.7464395168736369,0.7447012390045278,0.752791159828545,0.752565838131492,0.7762556368775829,0.7637210828869792,0.7866652762237918
User 6,0.7910672037797357,0.7741331742200862,0.7819346623267462,0.7776442871736831,0.7540252679287298,0.7475457173504324,0.7434843787897955,0.752672694321119,0.76690171579948,0.7553883289794153,0.8092468511384306,0.7750425937433608
User 7,0.7762337831887933,0.7729901614280654,0.7899609448010572,0.7755974323081689,0.7642782377636502,0.7670635529273028,0.7428828988662018,0.7683742366525856,0.7639980632872915,0.7639555981500084,0.8023103453049949,0.7731834788987406
User 8,0.7839372369075661,0.7751495585473346,0.7819346623267462,0.7762050274742358,0.7564438856131752,0.7427102388403906,0.7518162190990461,0.7455815846100162,0.7612139889639087,0.765784915275008,0.7890890200639123,0.7611124003809548
User 9,0.7859213732445782,0.7677071684184017,0.7899609448010572,0.756799793043624,0.7619602100949527,0.7794581288015966,0.7599801156648093,0.795186638847604,0.765171663853693,0.7758372401066286,0.7839365050080161,0.7649371089048973
User 10,0.8102447737442663,0.7837595686246488,0.7819346623267462,0.7834040815645431,0.7619574405391661,0.7485886041504907,0.7434659044447356,0.7663448361661853,0.7593786515662428,0.7677700901858702,0.7637210828869792,0.7971849842999996
User 11,0.8001727502998072,0.7729901614280654,0.8390590047583135,0.7762149674610263,0.7881792099691571,0.76801451187234,0.7723185875380384,0.7577474288819189,0.7670456767843803,0.774847420378681,0.8023103453049949,0.8479669793743848
User 12,0.8796660490445583,0.7729901614280654,0.8390590047583135,0.7762149674610263,0.7881792099691571,0.76801451187234,0.7723185875380384,0.7577474288819189,0.7670456767843803,0.774847420378681,0.8023103453049949,0.8479669793743848
User 13,0.7873746768911112,0.7677071684184017,0.7819346623267462,0.7776442871736831,0.7705995378250778,0.76801451187234,0.7723185875380384,0.7577474288819189,0.7670456767843803,0.774847420378681,0.8023103453049949,0.8479669793743848
